institution,ukprn,region,uoa_id,uoa_name,case_id,case_title,panel,gpa_score,binary_impact_label,region_code,Flesch Reading Ease,Dale-Chall Readability Score,SMOG Index,Automated Readability Index,Sentiment (mean),Sentiment (10th),Sentiment (50th),Sentiment (75th),Sentiment (90th),Number of organizations mentioned,Number of named individuals,Number of countries or regions mentioned,Any monetary values mentioned (list them with currency),Total monetary value,Word count,Paragraph count
Sheffield Hallam University,10005790,Yorkshire And Humberside,26,"Sport and Exercise Sciences, Leisure and Tourism",15982,"
    The Economic and Social Impacts of Major Events and Festivals
    ",C,3.0,High,,30.19267016652421,12.630180321730021,16.259743692278946,18.292170766658707,0.301,0.0,0.1779,0.6178,0.8385,30,1,7,"['around £2.5', 'over £3', '1.7', '3.2', 'over £27 million']",£27.0 million,1580,3
Sheffield Hallam University,10005790,Yorkshire And Humberside,26,"Sport and Exercise Sciences, Leisure and Tourism",15983,"
    A Behaviour Change DVD to Increase Physical Activity in Deprived
        Neighbourhoods - from concept to community
    ",C,3.0,High,,31.411395485836465,12.996113108242303,15.585922363517366,15.154675237936218,0.2065,-0.18,0.0515,0.4486,0.71,23,12,7,"['265,000']",£0.27 million,1130,3
Sheffield Hallam University,10005790,Yorkshire And Humberside,26,"Sport and Exercise Sciences, Leisure and Tourism",15984,"
    Public Engagement in Sports Science and Engineering Research
    ",C,3.0,High,,38.61081967213116,13.159778688524591,16.04894535257393,16.05522280471822,0.2444,0.0,0.0,0.4588,0.7952,42,7,18,"['82,000', '5 per cent', '15 per cent']",£0.08 million,1526,4
Sheffield Hallam University,10005790,Yorkshire And Humberside,26,"Sport and Exercise Sciences, Leisure and Tourism",15985,"
    3D measurement systems
    ",C,3.0,High,,38.01878773000897,12.468763612688385,15.8162894351236,16.424302165784233,0.2387,0.0,0.1027,0.5423,0.8642,41,8,13,[],,1591,5
Nottingham Trent University,10004797,East Midlands,26,"Sport and Exercise Sciences, Leisure and Tourism",17135,"
    Improving exercise performance in the heat
    ",C,2.0,Low,5.0,24.914162493942854,12.832619952927061,17.45965005497168,18.465130908088746,0.3372,0.0,0.4016,0.5679,0.7772,28,9,6,[],,1062,2
University of Worcester,10007139,West Midlands,26,"Sport and Exercise Sciences, Leisure and Tourism",19862,"
    Addressing the Childhood Obesity Problem in the West Midlands: enhancing
      child weight management programmes
    ",C,2.6,Low,4.0,25.162751004016087,12.362621026965003,18.140434051309363,20.390924411933447,0.185,-0.3175,0.0386,0.4446,0.6344,16,2,3,[],,664,2
University of Cumbria,10007842,North West,26,"Sport and Exercise Sciences, Leisure and Tourism",21486,"
    Interdisciplinary Psychosocial Impacts on Coaching and Coach Education
    ",C,1.8,Low,6.0,20.363518855065905,13.413620187793429,17.346320634872527,20.102041117673785,0.1919,0.0,0.0,0.2957,0.7284,19,9,2,[],,852,4
University of Cumbria,10007842,North West,26,"Sport and Exercise Sciences, Leisure and Tourism",21487,"
    Improving training through testing context appropriate muscle function
      assessment techniques to support effective coaching practice and athletic
      performance.
    ",C,1.8,Low,6.0,22.766309964200502,12.882912696897375,18.324360782559804,20.785149164677804,0.3439,-0.1378,0.4835,0.6395,0.8002,17,7,0,[],,1257,2
University of Gloucestershire,10007145,South West,26,"Sport and Exercise Sciences, Leisure and Tourism",23169,"
    Primary Care Referral Interventions for Health Improvement
    ",C,3.4,High,1.0,18.869416595171003,13.47313194018875,17.843327261478567,19.176096341463413,0.1344,0.0,0.0,0.128,0.6282,22,8,10,[],,1000,2
University of Gloucestershire,10007145,South West,26,"Sport and Exercise Sciences, Leisure and Tourism",23184,"
    Protect their knees: Reducing injury risk in paediatric sporting
        populations
    ",C,3.4,High,1.0,34.54810003081033,12.672771330271866,16.41435310259462,17.562919724001112,-0.0654,-0.5859,0.0,0.0579,0.4778,18,6,6,[],,1399,2
University of Edinburgh,10007790,Scotland,26,"Sport and Exercise Sciences, Leisure and Tourism",24002,"
    Outdoor learning and education policy development in Scotland
    ",C,3.3,High,10.0,16.197163974815226,14.092715603613469,16.416923778528627,18.99216568047337,0.1591,0.0,0.0,0.3659,0.5659,31,6,10,[],,845,2
University of Edinburgh,10007790,Scotland,26,"Sport and Exercise Sciences, Leisure and Tourism",24003,"
    Monitoring global and national levels of physical activity in youth
    ",C,3.3,High,10.0,36.92674962292611,11.941287028657618,15.12621593547511,14.848299549549552,0.2086,-0.1742,0.0,0.4752,0.6764,20,1,4,[],,888,2
University of Edinburgh,10007790,Scotland,26,"Sport and Exercise Sciences, Leisure and Tourism",24004,"
    Life after stroke &#8212; influence of physical fitness and exercise
    ",C,3.3,High,10.0,38.00379381443301,13.461397502863688,14.101274928730707,15.847936145952112,0.182,0.0,0.0,0.4161,0.8479,21,4,6,[],,877,3
University of Worcester,10007139,West Midlands,26,"Sport and Exercise Sciences, Leisure and Tourism",26411,"
    The Global Provision of Physical Education in Schools: stimulating debate
      and shaping policy
    ",C,2.6,Low,4.0,17.005375579754002,12.548313833434161,20.000786983424824,19.46000201653559,0.1208,-0.0718,0.0,0.3182,0.4494,21,1,2,[],,551,2
University of South Wales,10007793,Wales,26,"Sport and Exercise Sciences, Leisure and Tourism",27762,"
    Free radicals and vascular ageing; move your muscles, move your mind!
    ",C,1.7,Low,9.0,8.410657894736858,13.729983040935673,19.946969662950774,21.87877192982456,0.2015,-0.4847,0.1409,0.6731,0.7716,16,0,4,['28k'],£0.0 million,855,2
University of South Wales,10007793,Wales,26,"Sport and Exercise Sciences, Leisure and Tourism",27763,"
    Intermittent hypoxia and its impact on human health: on mountains, medals
      and medicine!
    ",C,1.7,Low,9.0,14.93331395348838,13.800208453303803,18.282114304091444,20.815730897009963,0.26,0.0,0.25,0.5859,0.8122,18,8,8,['6 Paralympic Games'],£0.0 million,774,2
Leeds Trinity University,10003863,Yorkshire And Humberside,26,"Sport and Exercise Sciences, Leisure and Tourism",31112,"
    The promotion of practical cooking skills and community cohesion through
      after-school cooking clubs.
    ",C,0.0,Low,,27.62304223320976,11.941945306963328,16.92669308720184,18.989910020449898,0.3854,0.0,0.4212,0.7301,0.8166,18,3,2,"['125,000', '10,000', 'over £6,000']",£0.14 million,815,2
Leeds Trinity University,10003863,Yorkshire And Humberside,26,"Sport and Exercise Sciences, Leisure and Tourism",31134,"
    Mental Toughness: Measurement and its Impact on Performance.
    ",C,0.0,Low,,37.344966179236025,11.865050776053215,14.658620424523832,14.996767872161477,0.1882,-0.0516,0.0,0.4308,0.7157,19,4,14,[],,870,2
Liverpool John Moores University,10003957,North West,26,"Sport and Exercise Sciences, Leisure and Tourism",31282,"
    ""Sporting Playgrounds: Its time to play"" - modifying school playground
        environments to increase physical activity
    ",C,3.9,High,6.0,30.720480535279847,13.739751094890511,15.760457277294734,17.330992304576753,0.198,0.0,0.0,0.4304,0.7318,23,3,4,"['3 & 4', '5.40']",£0.0 million,823,2
Liverpool John Moores University,10003957,North West,26,"Sport and Exercise Sciences, Leisure and Tourism",31378,"
    ""School's In!"": Promoting Children's Physical Activity and Health in
        Educational Settings
    ",C,3.9,High,6.0,30.48397648514853,12.910535687568757,16.249774687301716,17.17174092409241,0.1558,0.0,0.0,0.296,0.7077,16,2,6,"['42,000']",£0.04 million,909,2
Liverpool John Moores University,10003957,North West,26,"Sport and Exercise Sciences, Leisure and Tourism",31379,"
    ""Cardiovascular deaths in young athletes &#8212; Preventing the tragedy"":
        The development and implementation of evidence-based pre-participation
        cardiovascular screening protocols
    ",C,3.9,High,6.0,26.1215687640356,13.17533370207103,17.042678774642482,17.41471804042252,0.019,-0.28,0.0,0.0,0.4134,38,3,6,[],,1093,2
University of Lincoln,10007151,East Midlands,26,"Sport and Exercise Sciences, Leisure and Tourism",31955,"
    Widening national participation in golf
    ",C,2.5,Low,5.0,25.15263636363639,12.721318787878788,16.92669308720184,18.99522727272727,0.336,0.0,0.2957,0.5009,0.8288,4,3,2,[],,792,2
University of Lincoln,10007151,East Midlands,26,"Sport and Exercise Sciences, Leisure and Tourism",31956,"
    Transforming the management of obesity prevention
    ",C,2.5,Low,5.0,18.521234777683418,12.486061229113565,18.373905821835006,19.392524072500713,0.3711,0.0,0.2846,0.7526,0.8555,16,2,8,[],,856,18
Cardiff Metropolitan University,10007854,Wales,26,"Sport and Exercise Sciences, Leisure and Tourism",32232,"
    Developing best practice: Bangor and Cardiff research underpins the
      professional training, development and support provided by sport coaches
      and sport science practitioners
    ",C,3.667,High,9.0,22.233846153846173,13.172687484737486,18.320525048361986,21.149029304029305,0.3797,0.0,0.5345,0.7003,0.7736,26,12,8,"['72,000', '5,000']",£0.08 million,936,2
Bangor University,10007857,Wales,26,"Sport and Exercise Sciences, Leisure and Tourism",32232,"
    Developing best practice: Bangor and Cardiff research underpins the
      professional training, development and support provided by sport coaches
      and sport science practitioners
    ",C,3.667,High,9.0,22.233846153846173,13.172687484737486,18.320525048361986,21.149029304029305,0.3797,0.0,0.5345,0.7003,0.7736,26,12,8,"['72,000', '5,000']",£0.08 million,936,2
Cardiff Metropolitan University,10007854,Wales,26,"Sport and Exercise Sciences, Leisure and Tourism",32269,"
    `Train in, not select out': Bangor leadership training model decreased
      the high
      wastage rates in British army recruits and improved training practices
    ",C,3.667,High,9.0,36.13832170880562,13.185686573670445,15.72938378058809,16.540268532197793,0.1358,-0.2255,0.0,0.4019,0.52,39,8,4,[],,933,2
Bangor University,10007857,Wales,26,"Sport and Exercise Sciences, Leisure and Tourism",32269,"
    `Train in, not select out': Bangor leadership training model decreased
      the high
      wastage rates in British army recruits and improved training practices
    ",C,3.667,High,9.0,36.13832170880562,13.185686573670445,15.72938378058809,16.540268532197793,0.1358,-0.2255,0.0,0.4019,0.52,39,8,4,[],,933,2
Cardiff Metropolitan University,10007854,Wales,26,"Sport and Exercise Sciences, Leisure and Tourism",32320,"
    Sport and physical activity policy in Wales: The impact of evaluation
      research
      on `roll-out' and revised implementation
    ",C,3.667,High,9.0,27.556194970845496,12.04788274052478,17.2096,17.355685328185324,0.3003,0.0,0.3182,0.5106,0.78,28,3,3,['£3.5 million'],£3.5 million,1036,6
Bangor University,10007857,Wales,26,"Sport and Exercise Sciences, Leisure and Tourism",32320,"
    Sport and physical activity policy in Wales: The impact of evaluation
      research
      on `roll-out' and revised implementation
    ",C,3.667,High,9.0,27.556194970845496,12.04788274052478,17.2096,17.355685328185324,0.3003,0.0,0.3182,0.5106,0.78,28,3,3,['£3.5 million'],£3.5 million,1036,6
Liverpool John Moores University,10003957,North West,26,"Sport and Exercise Sciences, Leisure and Tourism",32841,"
    ""A tactical change"". Influencing professional development and
        supporting evidence-based practice within the football industry
    ",C,3.9,High,6.0,26.81431972789116,13.55889455782313,16.6708967788621,16.909080108621858,0.1273,0.0,0.0,0.2263,0.5976,14,3,6,"['£10 million', '144']",£10.0 million,982,2
University of Wolverhampton,10007166,West Midlands,26,"Sport and Exercise Sciences, Leisure and Tourism",33764,"
    ""Improving performance through the management of mood""
    ",C,2.9,Low,4.0,28.09769855026792,13.027963599117555,16.00364210734052,16.453421052631576,0.2062,0.0,0.0129,0.4357,0.7209,10,8,1,[],,836,2
University of Wolverhampton,10007166,West Midlands,26,"Sport and Exercise Sciences, Leisure and Tourism",33765,"
    ""Exercise and quality of life improvements in different populations""
    ",C,2.9,Low,4.0,28.50480470876431,13.181904463799674,15.786528217884907,15.863916458987973,0.1745,-0.3029,0.0,0.4588,0.7535,33,11,8,[],,839,2
University of Chester,10007848,North West,26,"Sport and Exercise Sciences, Leisure and Tourism",34974,"
    The assessment of game, training and playing demands in relation to
        preparation and performance in elite rugby (league and union)
    ",C,2.4,Low,6.0,27.954361902008998,13.475505694464518,16.1512527315842,17.512185286891167,0.179,-0.2186,0.0,0.5023,0.5994,10,6,3,[],,1221,2
University of Chester,10007848,North West,26,"Sport and Exercise Sciences, Leisure and Tourism",34976,"
    2: Managing fatigue and recovery in team sports
    ",C,2.4,Low,6.0,17.978361337939702,13.351463567839195,18.411363647362585,21.329159569138277,0.1046,-0.25,0.0,0.4404,0.6191,20,5,1,[],,998,2
Newman University,10007832,West Midlands,26,"Sport and Exercise Sciences, Leisure and Tourism",35192,"
    Impact of research on intermittent exercise and training load
        monitoring
    ",C,1.8,Low,4.0,31.708360091743145,12.665806422018349,16.15616582465906,17.862339449541288,0.2006,0.0,0.0,0.4722,0.655,8,3,7,[],,545,2
Newman University,10007832,West Midlands,26,"Sport and Exercise Sciences, Leisure and Tourism",35193,"
    Judging and performance in the sport of Muay Thai
    ",C,1.8,Low,4.0,37.172864625302196,12.160525302175666,16.163531991956578,15.57228444802579,0.1365,0.0,0.0,0.3004,0.6296,13,2,13,[],,876,2
University of Hull,10007149,Yorkshire And Humberside,26,"Sport and Exercise Sciences, Leisure and Tourism",35547,"
    Enhancing coaching practice in elite level sport
    ",C,2.9,Low,,28.420816432700263,12.93491356895128,15.928711689422457,17.355832649712873,0.1689,-0.296,0.0,0.4767,0.6107,29,3,6,[],,1219,2
University of Hull,10007149,Yorkshire And Humberside,26,"Sport and Exercise Sciences, Leisure and Tourism",35571,"
    Improving functional performance, prosthetic rehabilitation and falls
      prevention in transtibial amputees.
    ",C,2.9,Low,,24.83587242210635,13.523217140536149,16.005793781477273,16.806958189790166,0.146,-0.296,0.0,0.4404,0.7377,22,6,5,[],,1236,7
York St John University,10007713,Yorkshire And Humberside,26,"Sport and Exercise Sciences, Leisure and Tourism",36505,"
    Enhancing children's motivation and well-being through innovative coach
      education
    ",C,1.4,Low,,14.847435287269747,13.473948387317675,17.258936766885295,20.186124768883104,0.1903,0.0,0.0,0.4215,0.6369,22,14,7,[],,859,5
York St John University,10007713,Yorkshire And Humberside,26,"Sport and Exercise Sciences, Leisure and Tourism",36507,"
    The impact of research on adherence, health enhancing physical activity
      (HEPA) and exercise uptake on practitioners, professional services and
      health
    ",C,1.4,Low,,39.72175401601672,12.795679936501921,14.765357212475738,13.991639382931545,0.1213,-0.2652,0.0,0.3612,0.5585,32,1,4,[],,902,2
University of Birmingham,10006840,West Midlands,26,"Sport and Exercise Sciences, Leisure and Tourism",38877,"
    Adoption and maintenance of active lifestyles in `hard to reach'
        communities
    ",C,3.6,High,4.0,19.15026763021453,13.253353746314684,18.196593372214874,19.597237255498122,0.253,0.0,0.2732,0.4763,0.7269,38,8,6,[],,1287,2
University of Birmingham,10006840,West Midlands,26,"Sport and Exercise Sciences, Leisure and Tourism",38878,"
    Empowering climate training in sport, dance, and PE: Delivery,
        effectiveness and changes to professional standards
    ",C,3.6,High,4.0,19.423079658605985,13.29518112849692,17.97867684354785,21.47028750147527,0.1967,0.0,0.0258,0.4496,0.7481,43,2,22,[],,1145,2
University of Birmingham,10006840,West Midlands,26,"Sport and Exercise Sciences, Leisure and Tourism",38879,"
    Influencing policy and practice for stair climbing to increase
        Lifestyle Physical Activity
    ",C,3.6,High,4.0,34.48215555555558,12.542949777777778,16.567214971974305,18.235776888888893,0.1936,-0.1242,0.0,0.445,0.8111,33,17,13,[],,1250,2
University of Birmingham,10006840,West Midlands,26,"Sport and Exercise Sciences, Leisure and Tourism",38880,"
    Maximising carbohydrate delivery to fuel enhanced athletic performance
    ",C,3.6,High,4.0,11.265937674939408,13.569759911675066,20.225891995042204,21.89146413972501,0.348,0.0,0.3818,0.5223,0.8154,8,1,1,[],,702,2
Southampton Solent University,10006022,South East,26,"Sport and Exercise Sciences, Leisure and Tourism",39045,"
    Using an approach to Strength and conditioning to provide public benefit
      in those with Chronic Low Back Pain (CLBP).
    ",C,1.2,Low,2.0,37.16215978381376,11.756728603104213,16.061879428645646,17.675834257206212,0.004,-0.8773,0.1472,0.4581,0.7083,3,0,0,['billions of pounds'],,451,2
Southampton Solent University,10006022,South East,26,"Sport and Exercise Sciences, Leisure and Tourism",39093,"
    Using an approach to Strength and conditioning to provide public benefit
      in elite athletes.
    ",C,1.2,Low,2.0,36.799375000000055,12.618946808510637,16.061879428645646,18.77167021276596,0.4104,-0.075,0.4939,0.6874,0.9165,11,6,3,[],,470,2
University of Brighton,10000886,South East,26,"Sport and Exercise Sciences, Leisure and Tourism",39771,"
    Football4Peace
    ",C,3.267,High,2.0,25.001124852767987,12.659106646474845,17.424560992916597,18.164904132578144,0.3132,0.0,0.2957,0.5566,0.7618,29,4,17,[],,1135,2
University of Brighton,10000886,South East,26,"Sport and Exercise Sciences, Leisure and Tourism",39772,"
    Improving athletes' preparation for optimal sporting performance ICS
        [2]
    ",C,3.267,High,2.0,19.370561108587026,12.913232863849766,18.48545339777707,19.278343934575197,0.2737,-0.1897,0.234,0.6339,0.7483,20,1,6,[],,852,2
University of Brighton,10000886,South East,26,"Sport and Exercise Sciences, Leisure and Tourism",39773,"
    Redesigning tourism policy and practices in Africa
    ",C,3.267,High,2.0,10.444894736842144,13.187519812030077,19.344791289612047,19.745077452667807,0.1912,0.0,0.0,0.4215,0.6428,40,5,11,"['2.7', '2.7']",£0.0 million,913,2
University of Gloucestershire,10007145,South West,26,"Sport and Exercise Sciences, Leisure and Tourism",40281,"
    Safeguarding and Respect in Children's Football.
    ",C,3.4,High,1.0,29.807401120123643,12.034346365392045,16.80791676169397,18.95930088837389,0.3441,0.0,0.3935,0.5938,0.8055,24,3,4,"['160,000']",£0.16 million,863,2
University of Bristol,10007786,South West,26,"Sport and Exercise Sciences, Leisure and Tourism",40312,"
    Building new capacity to increase children's outdoor play
    ",C,4.0,High,1.0,30.82045032751094,12.33762751091703,16.797972146230645,18.586112565445028,0.4528,0.0,0.5345,0.6954,0.8441,13,7,4,[],,1146,2
University of Bristol,10007786,South West,26,"Sport and Exercise Sciences, Leisure and Tourism",40313,"
    Changing policy and practice to increase active travel to school
    ",C,4.0,High,1.0,25.24969452125822,12.491532837884549,17.54021597470382,19.691354676407748,0.5623,0.0,0.6369,0.8176,0.89,19,5,9,[],,1319,2
University of Exeter,10007792,South West,26,"Sport and Exercise Sciences, Leisure and Tourism",40391,"
    Extending the evidence-base for the effects of physical activity on
      mental
      health and nicotine addiction.
    ",C,3.533,High,1.0,22.115135143811017,13.614823677452492,17.99413710473001,19.360581039755353,0.1754,-0.5117,0.0,0.5719,0.7813,42,9,16,[],,1308,2
University of Bedfordshire,10007152,East,26,"Sport and Exercise Sciences, Leisure and Tourism",40540,"
    The impact of food tourism on sustainable development in rural regions
    ",C,1.8659999999999999,Low,3.0,22.145459557867383,12.923730460338101,18.627392138168,19.867233766233767,0.2635,0.0,0.0,0.5652,0.7783,26,1,11,[],,770,2
University of Bedfordshire,10007152,East,26,"Sport and Exercise Sciences, Leisure and Tourism",40545,"
    Impact of the development of the Coach Analysis Intervention System
        (CAIS)
    ",C,1.8659999999999999,Low,3.0,40.76269230769233,11.936435897435898,14.25777577995624,13.675982142857144,0.1426,0.0,0.0,0.3182,0.5675,23,3,7,[],,784,3
University of Surrey,10007160,South East,26,"Sport and Exercise Sciences, Leisure and Tourism",40576,"
    Reducing social exclusion through participation in tourism
    ",C,3.6,High,2.0,5.9150775193798495,13.72858630490956,19.174585242480724,21.57052043010753,0.3319,0.0,0.3506,0.4357,0.8296,15,2,13,"['over 127 million', '375,000']",£127.38 million,775,3
University of Surrey,10007160,South East,26,"Sport and Exercise Sciences, Leisure and Tourism",40577,"
    Modelling and Forecasting International Tourism Demand: Methodological
        Advancements and Innovations
    ",C,3.6,High,2.0,19.59553497674017,13.360683139863484,17.157705548534167,17.282485544106777,0.2172,-0.128,0.0,0.4735,0.7003,9,3,3,[],,697,2
Canterbury Christ Church University,10001143,South East,26,"Sport and Exercise Sciences, Leisure and Tourism",40591,"
    The Olympic Physical Activity, Sport and Health (OPASH) Legacy Project
    ",C,3.4,High,2.0,22.161645959256816,12.680183226198471,18.97152105866398,22.213750476190476,0.432,0.0,0.5106,0.7269,0.7976,27,15,7,"['An additional £1', '90k']",£0.0 million,1500,2
Canterbury Christ Church University,10001143,South East,26,"Sport and Exercise Sciences, Leisure and Tourism",40592,"
    Improving Physical Activity Levels among Less Active Young People
    ",C,3.4,High,2.0,16.981011904761942,13.25895582010582,20.852429223088986,27.852514871116988,0.5032,0.0,0.5719,0.8277,0.9062,20,6,3,"['8.4', '120', '41', '1.8', '575,000', '575,000', '575,000']",£1.73 million,1513,7
King's College London,10003645,London,26,"Sport and Exercise Sciences, Leisure and Tourism",41267,"
    An effective new treatment for visual vertigo
    ",C,3.5,High,0.0,14.529947233264181,13.07618636859324,19.12347321423159,20.10146264579174,0.2276,0.0,0.0,0.5719,0.6984,27,12,8,[],,921,2
King's College London,10003645,London,26,"Sport and Exercise Sciences, Leisure and Tourism",41268,"
    Catching the Drug Cheats: The Science Behind Anti-Doping for the London
      2012 Olympic and Paralympic Games
    ",C,3.5,High,0.0,16.515176521780063,13.299040822278672,19.315214445206834,21.250038978115903,0.2327,-0.1084,0.2023,0.6083,0.7351,20,2,9,[],,1183,2
Loughborough University,10004113,East Midlands,26,"Sport and Exercise Sciences, Leisure and Tourism",42017,"
    The integration and application of psychology in youth football:
        Research-related impacts on coaches, clubs and governing body policy
    ",C,3.75,High,5.0,30.902553056699446,12.811854735508394,16.66437469748448,17.60448848801329,0.2829,0.0,0.2732,0.4767,0.7003,21,3,4,[],,1149,2
Loughborough University,10004113,East Midlands,26,"Sport and Exercise Sciences, Leisure and Tourism",42081,"
    New governance arrangements in international sports organisations in
        relation to gender equity and anti-doping
    ",C,3.75,High,5.0,18.488210174852867,12.897500755645375,20.014920928253762,19.947707894736844,0.1195,0.0,0.0,0.2728,0.5217,23,2,9,[],,600,2
Aberystwyth University,10007856,Wales,26,"Sport and Exercise Sciences, Leisure and Tourism",42115,"
    Development of a performance-enhancing warm-up procedure for athletic
      events
    ",C,2.9,Low,9.0,34.472525423728825,12.241146629001884,15.587020800304785,15.897582005623242,0.1835,-0.0719,0.0,0.4259,0.733,8,3,4,[],,1067,2
Aberystwyth University,10007856,Wales,26,"Sport and Exercise Sciences, Leisure and Tourism",42116,"
    Community exercise schemes for rural populations
    ",C,2.9,Low,9.0,18.868543244949507,13.151792424242425,18.839152255641928,19.91759248878924,0.2076,0.0,0.0,0.3612,0.777,26,2,6,"['242,316.75']",£0.24 million,892,3
Loughborough University,10004113,East Midlands,26,"Sport and Exercise Sciences, Leisure and Tourism",42393,"
    Understanding, screening for and reducing compulsive exercise among
        eating disorder patients
    ",C,3.75,High,5.0,27.95750000000001,12.915283625730995,16.71762655542051,16.72018626309663,0.1556,0.0,0.0386,0.34,0.5356,24,5,8,[],,859,2
Loughborough University,10004113,East Midlands,26,"Sport and Exercise Sciences, Leisure and Tourism",42396,"
    Improving Paralympic athletes performance: Optimising wheelchair
        configurations and enhancing training strategies
    ",C,3.75,High,5.0,12.48231185121108,13.860560668973473,19.865919216924105,24.404135944700464,0.2657,0.0,0.0,0.7003,0.8014,25,8,7,[],,868,3
Loughborough University,10004113,East Midlands,26,"Sport and Exercise Sciences, Leisure and Tourism",42444,"
    Improved coaching and performance arising from research on the
        biomechanics of twisting somersaults
    ",C,3.75,High,5.0,35.734201016374925,13.038324839342852,13.986692274533059,13.688674274973145,0.1568,0.0,0.0,0.25,0.7302,17,11,19,[],,760,2
University of the West of Scotland,10007800,Scotland,26,"Sport and Exercise Sciences, Leisure and Tourism",42657,"
    The role of physical activity upon the Health and Well-being of Scottish
      Youth.
    ",C,1.2,Low,10.0,16.453072593167718,12.424007039337473,19.16045447334379,20.452788262668044,0.2082,-0.3734,0.0772,0.5859,0.7985,18,4,5,[],,967,2
Liverpool Hope University,10003956,North West,26,"Sport and Exercise Sciences, Leisure and Tourism",42773,"
    Change in practice for surgical teams- Major surgery for cancerous
        tumour removal
    ",C,1.3,Low,6.0,16.892427565982416,12.19001321994135,18.58521983649195,18.854160583941606,0.1648,-0.3011,0.1673,0.493,0.7493,6,0,0,[],,685,2
Liverpool Hope University,10003956,North West,26,"Sport and Exercise Sciences, Leisure and Tourism",42774,Rugby in Munster: a social and cultural history,C,1.3,Low,6.0,38.36092032845099,11.669325104305372,15.066780637376759,15.985950486295316,0.2316,0.0,0.0643,0.5257,0.6866,14,7,5,[],,754,2
University of Bath,10007850,South West,26,"Sport and Exercise Sciences, Leisure and Tourism",43253,"
    Improving Elite Sports Performance
    ",C,3.7329999999999997,High,1.0,32.01780098785761,12.886028462646635,16.341284387112896,19.02863128777789,0.3338,0.0,0.2616,0.5957,0.8787,17,9,5,[],,1362,2
University of Bath,10007850,South West,26,"Sport and Exercise Sciences, Leisure and Tourism",43254,"
    Promoting physical activity and well-being in children and adolescents
    ",C,3.7329999999999997,High,1.0,16.52631386357362,13.185844900777212,19.142268018852484,19.987683609187307,0.3202,0.0,0.2846,0.6597,0.7909,37,6,11,"['multi-million dollar', 'more than 100 million', 'multi-million dollar', 'more than 100 million']",£200.0 million,1217,2
University of Bath,10007850,South West,26,"Sport and Exercise Sciences, Leisure and Tourism",43255,"
    Reducing the Impact of Injury &amp; Illness in Challenging
        Environments
    ",C,3.7329999999999997,High,1.0,17.4665348257264,13.67386388486149,18.492626098719867,19.61167787814722,-0.0677,-0.6423,0.0,0.1468,0.4588,30,3,3,"['over £60 million', '£49 million', 'an additional £13.5 million']",£122.5 million,1210,2
Bournemouth University,10000824,South West,26,"Sport and Exercise Sciences, Leisure and Tourism",43276,"
    Modelling economic impact for national governments.
    ",C,3.2,High,1.0,26.611695572476037,12.608078116187253,17.817759514514364,17.798737373737374,0.2527,0.0,0.2378,0.4353,0.7763,27,3,6,"['£276 million', '£65 million', '£1.4 billion', '£864 million', 'between £3 billion and £4 billion']",£5605.0 million,990,2
London South Bank University,10004078,London,26,"Sport and Exercise Sciences, Leisure and Tourism",43387,"
    The development of column-based mid-sole (`Microwobbleboard'&#8482;)
      technology, leading to the creation of FitFlop Ltd, a global footwear
      brand.
    ",C,3.3,High,0.0,26.02708120965002,13.15045283724091,16.99224021665606,19.473883556331202,0.3773,-0.0751,0.4215,0.7301,0.8899,17,3,8,"['350million', '350million', 'over £200k']",£700.0 million,764,5
London South Bank University,10004078,London,26,"Sport and Exercise Sciences, Leisure and Tourism",43394,"
    Development and commercialisation of a range of medical devices that
      stimulate improved blood circulation and improve general health.
    ",C,3.3,High,0.0,28.058383002207535,12.832051434878586,16.827784334635936,16.65283664459161,0.2802,-0.4594,0.3818,0.5256,0.8573,15,2,5,"['£16.3M', '1.32', '£16.3M', '239,000']",£0.24 million,906,5
Loughborough University,10004113,East Midlands,26,"Sport and Exercise Sciences, Leisure and Tourism",43682,"
    Development of strategies to monitor stress and help avoid infections
        in
        athletes and games players
    ",C,3.75,High,5.0,21.592481035790655,13.914311406109924,17.75955756391138,18.965512723260467,0.1867,-0.2957,0.0129,0.5185,0.6703,38,7,9,[],,853,2
Edge Hill University,10007823,North West,26,"Sport and Exercise Sciences, Leisure and Tourism",43770,"
    Child protection, sexual abuse and welfare: raising awareness, shaping
      policy and changing
      practice in youth sport.
    ",C,3.0,High,6.0,9.782017543859666,13.567716624895573,21.430547526874683,25.291800334168755,-0.0367,-0.7249,0.0,0.3868,0.7266,31,7,7,[],,1512,8
Edge Hill University,10007823,North West,26,"Sport and Exercise Sciences, Leisure and Tourism",43783,"
    Changing practice in the consideration of fatigue as an aetiological
      factor for injury.
    ",C,3.0,High,6.0,21.694920786908114,13.414107520891365,17.303446975698737,17.353401810584955,-0.1375,-0.8117,0.0,0.0193,0.3833,7,1,2,[],,718,2
University of Chichester,10007137,South East,26,"Sport and Exercise Sciences, Leisure and Tourism",43826,"
    Evidenced based practice to optimise the development and performance of
      world class and Olympic sailors.
    ",C,3.4330000000000003,High,2.0,26.145526442307727,13.326160256410258,17.517680986758215,19.987144230769225,0.2681,0.0,0.1779,0.5994,0.7743,11,4,6,[],,975,2
